Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m)
5.690000057220459,-0.02039821818470955,-7.399986267089844,-4.59456729888916,0.288885235786438,-0.02319999970495701
5.699999809265137,0.10737042129039764,-7.64502477645874,-4.580854892730713,0.24154116213321686,-0.019600000232458115
5.710000038146973,-0.10963185876607895,-7.516571998596191,-6.040581703186035,0.18905667960643768,-0.015800001099705696
5.71999979019165,-0.3978440761566162,-8.46835708618164,-4.290802001953125,0.1468440294265747,-0.012199999764561653
5.730000019073486,0.07052046805620193,-7.816516876220703,-5.9446563720703125,0.10380316525697708,-0.00839999970048666
5.739999771118164,0.27139219641685486,-8.60851764678955,-3.0655977725982666,0.06160851940512657,-0.004599999636411667
5.75,-0.3151929974555969,-8.576741218566895,-5.6529221534729,0.009088031947612762,-0.0009999999310821295
5.760000228881836,-0.06311275064945221,-9.091753959655762,-4.80853796005249,-0.033088602125644684,0.0026000000070780516
5.769999980926514,0.3070828914642334,-9.234148979187012,-4.525291919708252,-0.08043266832828522,0.006399999372661114
5.78000020980835,0.20651556551456451,-9.490291595458984,-4.725017070770264,-0.11831511557102203,0.009999999776482582
5.789999961853027,-0.07438242435455322,-9.995402336120605,-4.369532108306885,-0.16141001880168915,0.013400000520050526
5.800000190734863,0.1345648318529129,-9.894728660583496,-5.549620628356934,-0.207790806889534,0.01679999940097332
5.809999942779541,-0.4753827750682831,-10.083513259887695,-5.220810890197754,-0.23196247220039368,0.019999999552965164
5.820000171661377,0.22990547120571136,-10.296533584594727,-5.011667728424072,-0.2793065309524536,0.022800002247095108
5.829999923706055,-0.21139496564865112,-10.502798080444336,-5.033079147338867,-0.3077273666858673,0.02540000155568123
5.840000152587891,-0.3910489082336426,-10.693608283996582,-5.041884422302246,-0.35507142543792725,0.0280000027269125
5.849999904632568,-0.007486918941140175,-10.825228691101074,-4.986397743225098,-0.37822583317756653,0.03019999898970127
5.860000133514404,0.20883400738239288,-10.920004844665527,-4.252061367034912,-0.40244248509407043,0.03220000118017197
5.869999885559082,-0.2156773954629898,-11.11998462677002,-4.833652973175049,-0.42557886242866516,0.03420000150799751
5.880000114440918,-0.10213932394981384,-11.203217506408691,-5.268187999725342,-0.4539817273616791,0.03580000251531601
5.889999866485596,-0.030280040577054024,-11.323060989379883,-4.895646572113037,-0.4782254099845886,0.03700000047683716
5.900000095367432,-0.003840105142444372,-11.40565013885498,-4.656293869018555,-0.4960232973098755,0.038200002163648605
5.909999847412109,-0.011049122549593449,-11.361024856567383,-4.7777628898620605,-0.4960232973098755,0.038999997079372406
5.920000076293945,-0.04041794314980507,-11.537054061889648,-4.766923904418945,-0.5202759504318237,0.039400000125169754
5.929999828338623,-0.1308862268924713,-11.526395797729492,-4.821188449859619,-0.5244171619415283,0.039799999445676804
5.940000057220459,0.01579093001782894,-11.414631843566895,-4.83486795425415,-0.5297645926475525,0.03999999910593033
5.949999809265137,-0.029804468154907227,-11.255072593688965,-4.889547824859619,-0.5338877439498901,0.039799999445676804
5.960000038146973,-0.03411661833524704,-11.211906433105469,-4.873861789703369,-0.528522253036499,0.039400000125169754
5.96999979019165,0.030211256816983223,-11.167917251586914,-4.801871299743652,-0.5244171023368835,0.038600001484155655
5.980000019073486,-0.08610022068023682,-11.038559913635254,-4.790436267852783,-0.5149555206298828,0.03759999945759773
5.989999771118164,-0.14593760669231415,-11.090511322021484,-4.723570346832275,-0.5095630288124084,0.03619999811053276
6,0.12115969508886337,-10.93082046508789,-4.887235641479492,-0.49062180519104004,0.034599997103214264
6.010000228881836,-0.10014557838439941,-10.768316268920898,-5.143481731414795,-0.47709110379219055,0.03259999677538872
6.019999980926514,0.05427561700344086,-10.665563583374023,-4.670135974884033,-0.4567905068397522,0.03060000017285347
6.03000020980835,-0.1703518033027649,-10.477734565734863,-4.905121803283691,-0.4243365526199341,0.028199996799230576
6.039999961853027,-0.05002539977431297,-10.38178539276123,-4.683787822723389,-0.4148569107055664,0.025600001215934753
6.050000190734863,0.12528665363788605,-10.165657043457031,-4.814263820648193,-0.38645410537719727,0.022800002247095108
6.059999942779541,-0.18346430361270905,-10.084741592407227,-4.972996234893799,-0.3525957465171814,0.020000001415610313
6.070000171661377,0.048982612788677216,-9.824774742126465,-4.735054016113281,-0.3147132992744446,0.017000000923871994
6.079999923706055,-0.08514222502708435,-9.645252227783203,-4.665108680725098,-0.2862924635410309,0.013799999840557575
6.090000152587891,-0.1526641994714737,-9.42184066772461,-4.917025089263916,-0.23894838988780975,0.010600000619888306
6.099999904632568,0.11853034049272537,-9.159682273864746,-4.802821636199951,-0.21052755415439606,0.007400000002235174
