Time (s),Voltage (mV),Voltage (V)
22.860000610351562,0.1548927277326584,1.5819047689437866
22.8700008392334,0.1548927277326584,1.5810989141464233
22.8799991607666,0.1548927277326584,1.5794872045516968
22.889999389648438,0.1547681838274002,1.5730403661727905
22.899999618530273,0.1547556072473526,1.5786813497543335
22.90999984741211,0.1548927277326584,1.5730403661727905
22.920000076293945,0.1548927277326584,1.5819047689437866
22.93000030517578,0.15450674295425415,1.5810989141464233
22.940000534057617,0.15449368953704834,1.5722345113754272
22.950000762939453,0.1548927277326584,1.5819047689437866
22.959999084472656,0.15450692176818848,1.5722345113754272
22.969999313354492,0.15436944365501404,1.5794872045516968
22.979999542236328,0.15449345111846924,1.5810989141464233
22.989999771118164,0.1548927277326584,1.5819047689437866
23,0.15450717508792877,1.5810989141464233
23.010000228881836,0.15436944365501404,1.5786813497543335
23.020000457763672,0.15436944365501404,1.5810989141464233
23.030000686645508,0.1546311229467392,1.5819047689437866
23.040000915527344,0.15475475788116455,1.5810989141464233
23.049999237060547,0.15450747311115265,1.5819047689437866
23.059999465942383,0.1546311229467392,1.5794872045516968
23.06999969482422,0.15475457906723022,1.5794872045516968
23.079999923706055,0.15463104844093323,1.5819047689437866
23.09000015258789,0.1548927277326584,1.5722345113754272
23.100000381469727,0.15450777113437653,1.5819047689437866
23.110000610351562,0.15449266135692596,1.5810989141464233
23.1200008392334,0.1548927277326584,1.5730403661727905
23.1299991607666,0.15463104844093323,1.5722345113754272
23.139999389648438,0.1547696739435196,1.5722345113754272
23.149999618530273,0.15475410223007202,1.5819047689437866
23.15999984741211,0.15450812876224518,1.5819047689437866
23.170000076293945,0.15436944365501404,1.5730403661727905
23.18000030517578,0.15436944365501404,1.5722345113754272
23.190000534057617,0.15449218451976776,1.5786813497543335
23.200000762939453,0.1548927277326584,1.5722345113754272
23.209999084472656,0.1548927277326584,1.5778754949569702
23.219999313354492,0.1548927277326584,1.5722345113754272
23.229999542236328,0.1548927277326584,1.5810989141464233
23.239999771118164,0.1548927277326584,1.5810989141464233
23.25,0.15477034449577332,1.5722345113754272
23.260000228881836,0.15489278733730316,1.5786813497543335
23.270000457763672,0.154631108045578,1.5819047689437866
23.280000686645508,0.15475332736968994,1.5810989141464233
23.290000915527344,0.1548927277326584,1.5819047689437866
23.299999237060547,0.1548927277326584,1.5810989141464233
23.309999465942383,0.15477070212364197,1.5730403661727905
23.31999969482422,0.15436944365501404,1.5722345113754272
23.329999923706055,0.15475302934646606,1.5819047689437866
23.34000015258789,0.1548927277326584,1.5778754949569702
23.350000381469727,0.1548927277326584,1.5810989141464233
23.360000610351562,0.1548927277326584,1.5810989141464233
23.3700008392334,0.1548927277326584,1.5810989141464233
23.3799991607666,0.15450944006443024,1.5810989141464233
23.389999389648438,0.1547526717185974,1.5810989141464233
23.399999618530273,0.15463104844093323,1.5730403661727905
23.40999984741211,0.15463104844093323,1.5722345113754272
23.420000076293945,0.1548927277326584,1.5810989141464233
23.43000030517578,0.15463104844093323,1.5810989141464233
23.440000534057617,0.1548927277326584,1.5794872045516968
23.450000762939453,0.15477153658866882,1.5722345113754272
23.459999084472656,0.15475225448608398,1.5730403661727905
23.469999313354492,0.15515440702438354,1.5810989141464233
23.479999542236328,0.1548927277326584,1.574652075767517
23.489999771118164,0.1548927277326584,1.5794872045516968
23.5,0.1548927277326584,1.5819047689437866
23.510000228881836,0.1548927277326584,1.5794872045516968
23.520000457763672,0.15501350164413452,1.5819047689437866
23.530000686645508,0.1550336331129074,1.5810989141464233
23.540000915527344,0.1547720730304718,1.5730403661727905
23.549999237060547,0.1547517031431198,1.5810989141464233
23.559999465942383,0.1548927277326584,1.5730403661727905
23.56999969482422,0.1548927277326584,1.5810989141464233
23.579999923706055,0.1548927277326584,1.5810989141464233
23.59000015258789,0.1548927277326584,1.5794872045516968
23.600000381469727,0.1545107662677765,1.5819047689437866
23.610000610351562,0.15475134551525116,1.5810989141464233
23.6200008392334,0.1547725647687912,1.5810989141464233
23.6299991607666,0.15436944365501404,1.5810989141464233
23.639999389648438,0.15448950231075287,1.5810989141464233
23.649999618530273,0.1548927277326584,1.5730403661727905
23.65999984741211,0.15451112389564514,1.5810989141464233
23.670000076293945,0.15436944365501404,1.5810989141464233
23.68000030517578,0.15436944365501404,1.5819047689437866
23.690000534057617,0.15436944365501404,1.5810989141464233
23.700000762939453,0.15436944365501404,1.5778754949569702
23.709999084472656,0.1546311229467392,1.5810989141464233
23.719999313354492,0.1546085923910141,1.5810989141464233
23.729999542236328,0.1546536386013031,1.5722345113754272
23.739999771118164,0.15475057065486908,1.5786813497543335
23.75,0.1548927277326584,1.5730403661727905
23.760000228881836,0.1548927277326584,1.5722345113754272
23.770000457763672,0.1548927277326584,1.5810989141464233
23.780000686645508,0.1548927277326584,1.5819047689437866
23.790000915527344,0.15477357804775238,1.5730403661727905
23.799999237060547,0.15475021302700043,1.5819047689437866
23.809999465942383,0.1548927277326584,1.5819047689437866
23.81999969482422,0.15501169860363007,1.5810989141464233
23.829999923706055,0.15503542125225067,1.5810989141464233
23.84000015258789,0.15463104844093323,1.5786813497543335
23.850000381469727,0.1548927277326584,1.5754579305648804
23.860000610351562,0.1548927277326584,1.5810989141464233
23.8700008392334,0.1548927277326584,1.5786813497543335
23.8799991607666,0.1548927277326584,1.5722345113754272
23.889999389648438,0.15515440702438354,1.5819047689437866
23.899999618530273,0.1548927277326584,1.5810989141464233
23.90999984741211,0.1548927277326584,1.5794872045516968
23.920000076293945,0.1548927277326584,1.5810989141464233
23.93000030517578,0.1548927277326584,1.5722345113754272
23.940000534057617,0.15515440702438354,1.5810989141464233
23.950000762939453,0.15527260303497314,1.5722345113754272
23.959999084472656,0.15503621101379395,1.5794872045516968
23.969999313354492,0.15463104844093323,1.5810989141464233
23.979999542236328,0.15515440702438354,1.5762637853622437
23.989999771118164,0.1548927277326584,1.5819047689437866
24,0.15527230501174927,1.5810989141464233
24.010000228881836,0.15541601181030273,1.5722345113754272
24.020000457763672,0.1550365686416626,1.5819047689437866
24.030000686645508,0.1548927277326584,1.5810989141464233
24.040000915527344,0.15515440702438354,1.5810989141464233
24.049999237060547,0.15515440702438354,1.5810989141464233
24.059999465942383,0.1548927277326584,1.5730403661727905
24.06999969482422,0.1548927277326584,1.5722345113754272
24.079999923706055,0.15515440702438354,1.5794872045516968
24.09000015258789,0.1552717536687851,1.5819047689437866
24.100000381469727,0.15529872477054596,1.5810989141464233
24.110000610351562,0.1548927277326584,1.5794872045516968
24.1200008392334,0.1548927277326584,1.5778754949569702
24.1299991607666,0.15477560460567474,1.5794872045516968
24.139999389648438,0.15474817156791687,1.5819047689437866
24.149999618530273,0.1548927277326584,1.5786813497543335
24.15999984741211,0.1548927277326584,1.5810989141464233
24.170000076293945,0.1548927277326584,1.5778754949569702
24.18000030517578,0.15477591753005981,1.5810989141464233
