Time (s),ωy (rad/s),Voltage (mV)
68.69999694824219,-10.131032943725586,0.0605342835187912
68.70999908447266,-10.121061325073242,0.05580385401844978
68.72000122070312,-10.109682083129883,0.05051165446639061
68.7300033569336,-10.098047256469727,0.0438983254134655
68.73999786376953,-10.085030555725098,0.0422498881816864
68.75,-10.068479537963867,0.038506459444761276
68.76000213623047,-10.04344367980957,0.032747771590948105
68.7699966430664,-10.025167465209961,0.027110062539577484
68.77999877929688,-10.010072708129883,0.024451686069369316
68.79000091552734,-9.98958969116211,0.020745811983942986
68.80000305175781,-9.9653902053833,0.016096727922558784
68.80999755859375,-9.93958568572998,0.01293453574180603
68.81999969482422,-9.90932559967041,0.009312553331255913
68.83000183105469,-9.882246017456055,0.006673416122794151
68.83999633789062,-9.85710334777832,0.0034669663291424513
68.8499984741211,-9.823376655578613,-0.001266702776774764
68.86000061035156,-9.783060073852539,-0.006346167530864477
68.87000274658203,-9.74295425415039,-0.008029095828533173
68.87999725341797,-9.69861125946045,-0.012353471480309963
68.88999938964844,-9.661734580993652,-0.019522152841091156
68.9000015258789,-9.616215705871582,-0.023325785994529724
68.91000366210938,-9.571805000305176,-0.030154909938573837
68.91999816894531,-9.5284423828125,-0.037295106798410416
68.93000030517578,-9.485200881958008,-0.04065097123384476
68.94000244140625,-9.436922073364258,-0.04847963526844978
68.94999694824219,-9.386101722717285,-0.055687256157398224
68.95999908447266,-9.330263137817383,-0.060349803417921066
68.97000122070312,-9.27624225616455,-0.06413835287094116
68.9800033569336,-9.226826667785645,-0.07019540667533875
68.98999786376953,-9.17439079284668,-0.07153872400522232
69,-9.117798805236816,-0.06827022135257721
69.01000213623047,-9.059659957885742,-0.06279435008764267
69.0199966430664,-8.991891860961914,-0.06263870000839233
69.02999877929688,-8.928129196166992,-0.05934055522084236
69.04000091552734,-8.863265991210938,-0.053295981138944626
69.05000305175781,-8.79731559753418,-0.05145907774567604
69.05999755859375,-8.729317665100098,-0.0447876863181591
69.06999969482422,-8.654677391052246,-0.040653739124536514
69.08000183105469,-8.583355903625488,-0.0376766100525856
69.08999633789062,-8.513940811157227,-0.037538811564445496
69.0999984741211,-8.438749313354492,-0.03494901582598686
69.11000061035156,-8.361303329467773,-0.03274286165833473
69.12000274658203,-8.285735130310059,-0.028667733073234558
69.12999725341797,-8.206869125366211,-0.02663063071668148
69.13999938964844,-8.121232986450195,-0.025583595037460327
69.1500015258789,-8.03349781036377,-0.024420777335762978
69.16000366210938,-7.95654821395874,-0.02139638178050518
69.16999816894531,-7.88349723815918,-0.020378753542900085
69.18000030517578,-7.797012805938721,-0.01958848163485527
