Time (s),Fᵧ (N),rᵧ (m)
3.6600000858306885,-0.6115117073059082,0.024799998849630356
3.6700000762939453,-0.6115117073059082,0.025200000032782555
3.680000066757202,-0.6209778189659119,0.02540000155568123
3.690000057220459,-0.6209778189659119,0.025600001215934753
3.700000047683716,-0.6209778189659119,0.025800000876188278
3.7100000381469727,-0.6209778189659119,0.025999998673796654
3.7200000286102295,-0.6304439306259155,0.026200000196695328
3.7300000190734863,-0.6399100422859192,0.026399999856948853
3.740000009536743,-0.6304439306259155,0.026599999517202377
3.75,-0.6399100422859192,0.02680000104010105
3.759999990463257,-0.6399100422859192,0.027000000700354576
3.7699999809265137,-0.6304439306259155,0.02720000222325325
3.7799999713897705,-0.6399100422859192,0.027399998158216476
3.7899999618530273,-0.6399100422859192,0.02759999968111515
3.799999952316284,-0.6399100422859192,0.027799999341368675
3.809999942779541,-0.6493761539459229,0.02800000086426735
3.819999933242798,-0.6399100422859192,0.02800000086426735
3.8299999237060547,-0.6493761539459229,0.02800000086426735
3.8399999141693115,-0.6588422656059265,0.02800000086426735
3.8499999046325684,-0.6683083772659302,0.028200000524520874
3.859999895095825,-0.6588422656059265,0.0284000001847744
3.869999885559082,-0.6588422656059265,0.028600001707673073
3.880000114440918,-0.6777744889259338,0.02879999950528145
3.890000104904175,-0.6683083772659302,0.029199998825788498
3.9000000953674316,-0.6588422656059265,0.029400000348687172
3.9100000858306885,-0.6777744889259338,0.029600000008940697
3.9200000762939453,-0.6777744889259338,0.02980000153183937
3.930000066757202,-0.6777744889259338,0.029999997466802597
3.940000057220459,-0.6777744889259338,0.029999997466802597
3.950000047683716,-0.6777744889259338,0.03019999898970127
3.9600000381469727,-0.6777744889259338,0.030399998649954796
3.9700000286102295,-0.6872406005859375,0.03060000017285347
3.9800000190734863,-0.6967067122459412,0.03099999949336052
3.990000009536743,-0.6967067122459412,0.03140000253915787
4,-0.6967067122459412,0.03160000219941139
4.010000228881836,-0.6967067122459412,0.03180000185966492
4.019999980926514,-0.6967067122459412,0.03200000151991844
4.03000020980835,-0.7156389355659485,0.03200000151991844
4.039999961853027,-0.7061728239059448,0.03200000151991844
4.050000190734863,-0.7156389355659485,0.03220000118017197
4.059999942779541,-0.7156389355659485,0.03240000084042549
4.070000171661377,-0.7156389355659485,0.03259999677538872
4.079999923706055,-0.7156389355659485,0.032999999821186066
4.090000152587891,-0.7156389355659485,0.033399999141693115
4.099999904632568,-0.7251050472259521,0.03360000252723694
